month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2025-01-01,A DIVISION,1,offpeak,6180143.3798828125,0.741047302158242,0.532417824143318,4579778.578613281,3290418.4912109375,671979.3726501465,0.108732003667994,0.891267996332006
2025-01-01,A DIVISION,1,peak,6405407.2265625,0.718459361193401,0.540067930087449,4602024.7841796875,3459355.022216797,492888.73791503906,0.076948852817833,0.923051147182167
2025-01-01,A DIVISION,2,offpeak,3609503.623046875,1.306796087631845,0.550316508112318,4716885.212890625,1986369.4298539162,576156.2406616211,0.159622014778662,0.840377985221338
2025-01-01,A DIVISION,2,peak,4147634.7734375,1.147945687893569,0.570769495856153,4761259.453125,2367343.408630371,591446.9584960938,0.142598611209422,0.857401388790578
2025-01-01,A DIVISION,3,offpeak,2910440.5249023438,0.870716894270594,0.437349487694423,2534169.734802246,1272879.672531128,334059.4716796875,0.114779693596692,0.885220306403308
2025-01-01,A DIVISION,3,peak,3267368.474609375,0.908692271032316,0.575274541179413,2969032.4794921875,1879633.900094986,361750.15646362305,0.110716057669887,0.889283942330113
2025-01-01,A DIVISION,4,offpeak,4501017.7783203125,0.827987262268951,0.418586077430959,3726785.3876953125,1884063.376274109,562028.5919799805,0.124867001122959,0.875132998877041
2025-01-01,A DIVISION,4,peak,4596869.6171875,0.867645731531117,0.657547001868616,3988454.3017578125,3022657.8347625732,591981.7092895508,0.128779312573095,0.871220687426905
2025-01-01,A DIVISION,5,offpeak,3106828.3213500977,1.218640817955987,0.658667522321586,3786107.806778908,2046366.9127022028,440945.58311367035,0.141927888349509,0.858072111650491
2025-01-01,A DIVISION,5,peak,3988332.96484375,1.040254205264032,0.624718713924883,4148880.138671875,2491586.240501404,549851.8277587891,0.137865076112152,0.862134923887848
2025-01-01,A DIVISION,6,offpeak,6430083.421875,0.879624492158246,0.390752765966356,5656058.864501953,2512572.8824920654,601594.9367675781,0.093559429527923,0.906440570472077
2025-01-01,A DIVISION,6,peak,6789575.48828125,1.128721926117982,0.620532771434144,7663542.72265625,4213154.094604492,790746.3533935547,0.116464770847364,0.883535229152636
2025-01-01,A DIVISION,7,offpeak,5217063.47265625,0.817953248485582,0.367735564870223,4267314.015014648,1918499.7830810547,535274.6834869385,0.10260076119304,0.89739923880696
2025-01-01,A DIVISION,7,peak,5623006.119140625,0.892779683443437,0.350983178666222,5020105.623046875,1973580.5613555908,450508.6918029785,0.080118833637661,0.919881166362339
2025-01-01,A DIVISION,S 42nd,offpeak,452971.4250488281,0.466956976403452,-0.233309578465607,211518.16703796387,-105682.57223510742,6378.076931476593,0.014080528216077,0.985919471783923
2025-01-01,A DIVISION,S 42nd,peak,551533.8393554688,0.364066043807165,-0.243811977608578,200794.74291992188,-134470.5560913086,258.9253921508789,0.000469464199066,0.999530535800934
2025-01-01,B DIVISION,A,offpeak,4195048.725097656,1.211196575502008,0.76221095892825,5081028.649902344,3197512.111507416,810361.9102783203,0.193171036472158,0.806828963527842
2025-01-01,B DIVISION,A,peak,5076653.3125,1.460806382674066,0.590209390190662,7416007.5615234375,2996288.4557800293,768651.5634765625,0.151409110719448,0.848590889280552
2025-01-01,B DIVISION,B,offpeak,2742483.6978912354,1.852033092693404,1.051082304786021,5079170.564666748,2882576.0860176086,636352.1561074257,0.232034982230426,0.767965017769574
2025-01-01,B DIVISION,B,peak,3354941.9375,2.376424630246023,1.330614915439413,7972766.6533203125,4464135.782470703,815369.3052978516,0.243035295539404,0.756964704460596
2025-01-01,B DIVISION,C,offpeak,3192000.2075195312,1.609663850313782,0.601732858750734,5138047.344238281,1920731.410003662,581395.5438232422,0.182141449256057,0.817858550743943
2025-01-01,B DIVISION,C,peak,2621699.650390625,2.03926549368054,0.543019536238272,5346341.6318359375,1423634.1283111572,477089.55700683594,0.181977198240749,0.818022801759252
2025-01-01,B DIVISION,D,offpeak,3389935.3525390625,1.685890729938823,0.845792124322049,5715060.5859375,2867180.6231384277,809818.0467529297,0.238888935196471,0.761111064803529
2025-01-01,B DIVISION,D,peak,3233392.5234375,1.976569170372364,0.95417068677935,6391023.9775390625,3085208.364715576,721597.4282226562,0.223170376931381,0.776829623068619
2025-01-01,B DIVISION,E,offpeak,4608107.532714844,1.063175992588539,0.176792487816397,4899229.300048828,814678.794834137,633718.0393066406,0.137522406933349,0.862477593066651
2025-01-01,B DIVISION,E,peak,5006169.185546875,1.380146819145964,-0.419203463736309,6909248.4775390625,-2098603.4626312256,579151.8996582031,0.115687640228031,0.884312359771969
2025-01-01,B DIVISION,F,offpeak,5212715.318359375,1.963256351067929,0.132228104255275,10233896.455078125,689267.4645690918,1158948.9243164062,0.222331137139706,0.777668862860294
2025-01-01,B DIVISION,F,peak,5715102.453125,2.116382872997325,-0.362245925101139,12095344.94921875,-2070272.5751800537,1065840.4536132812,0.186495423722541,0.813504576277459
2025-01-01,B DIVISION,G,offpeak,1721946.267578125,1.273828177570472,1.368427236795096,2193463.6759033203,2356358.1728515625,347069.317489624,0.201556415565608,0.798443584434392
2025-01-01,B DIVISION,G,peak,1850923.76171875,1.288178580637068,1.25130993527782,2384320.3442382812,2316079.2924804688,387089.44635009766,0.209133111993035,0.790866888006965
2025-01-01,B DIVISION,JZ,offpeak,1732502.4051513672,1.305904545561132,0.48440655688354,2262482.7660827637,839235.5248718262,329381.219329834,0.190118765982929,0.809881234017071
2025-01-01,B DIVISION,JZ,peak,1755125.7897949219,1.213815352876639,0.436958642546137,2130398.6298828125,766917.3826065063,304986.54998779297,0.173769055050709,0.826230944949291
2025-01-01,B DIVISION,L,offpeak,3791710.119140625,0.889561505450969,0.526528218636876,3372959.3618164062,1996442.3746185303,322484.2035751343,0.085049804294698,0.914950195705303
2025-01-01,B DIVISION,L,peak,3890777.12890625,1.051733373989709,0.614013944483381,4092060.1572265625,2388991.4120254517,364342.0578689575,0.093642489867154,0.906357510132846
2025-01-01,B DIVISION,M,offpeak,2481827.8563842773,1.764788980349802,0.000992305703666,4379902.452072144,2462.7319374084473,496970.1596326828,0.200243606080201,0.799756393919799
2025-01-01,B DIVISION,M,peak,2687171.9313964844,1.910143637745817,-0.048001542431792,5132884.368286133,-128988.39748644829,531753.7454109192,0.19788601510681,0.80211398489319
2025-01-01,B DIVISION,N,offpeak,3211976.1625976562,1.477161456085262,0.542270680296174,4744607.385253906,1741760.4987869263,586749.3859863281,0.182675510739719,0.817324489260282
2025-01-01,B DIVISION,N,peak,3446660.771484375,1.863314181842722,0.351259221190576,6422211.8955078125,1210671.3782997131,593731.2327880859,0.172262741288689,0.827737258711311
2025-01-01,B DIVISION,Q,offpeak,3998625.7548828125,1.36804778681223,0.657717491491054,5470311.1142578125,2629966.100913048,774863.919128418,0.193782555964937,0.806217444035063
2025-01-01,B DIVISION,Q,peak,4237533.3671875,1.444260213983455,0.953551234803975,6120100.84765625,4040705.1748046875,883074.6279296875,0.208393551486249,0.791606448513751
2025-01-01,B DIVISION,R,offpeak,4523175.714355469,2.103755605053846,0.044096536634133,9515656.26171875,199456.38359069824,1005272.2390136719,0.222249212168163,0.777750787831837
2025-01-01,B DIVISION,R,peak,4879779.431640625,2.396780667599566,-0.037990872953801,11695761.00390625,-185387.08043003082,1099090.6118164062,0.225233666237017,0.774766333762983
2025-01-01,B DIVISION,S Fkln,offpeak,209587.48956298828,0.422770793916546,0.052769270676498,88607.46935752034,11059.778967157006,8358.13891196251,0.039878997212048,0.960121002787952
2025-01-01,B DIVISION,S Fkln,peak,208002.96118164062,0.3055407248092,0.007295120115591,63553.37552189827,1517.4065862186253,7686.833027236164,0.03695540190182,0.96304459809818
2025-01-01,B DIVISION,S Rock,offpeak,20364.85500907898,0.772199940138039,-0.746413700243919,15725.739818930626,-15200.606782257557,1862.641426205635,0.091463525047207,0.908536474952793
2025-01-01,B DIVISION,S Rock,peak,16558.37912750244,0.525553270752211,-0.784985680802892,8702.310308814049,-12998.090512394905,1166.7754884958267,0.070464353999353,0.929535646000647
2025-01-01,B DIVISION,W,offpeak,1757019.1022949219,1.015742634316642,0.099407677413686,1784679.2115097046,174661.18813061714,211431.69447815418,0.120335455773926,0.879664544226074
2025-01-01,B DIVISION,W,peak,1970225.595703125,1.068624481261195,-0.147112620152287,2105431.3051757812,-289845.0496749878,202837.69411468506,0.102951506952836,0.897048493047164
2025-02-01,A DIVISION,1,offpeak,4441686.388671875,1.470672738539331,0.687046184599251,6532267.0849609375,3051643.6865234375,618216.385559082,0.139185059786253,0.860814940213747
2025-02-01,A DIVISION,1,peak,5147344.1015625,1.003991351076692,0.594903834242976,5167888.958984375,3062174.7421875,494613.90087890625,0.096091089136389,0.903908910863611
2025-02-01,A DIVISION,2,offpeak,2696972.6420898438,1.087167011447269,0.560813002203888,2932059.6872558594,1512497.3242721558,412993.06353759766,0.153132092292036,0.846867907707964
2025-02-01,A DIVISION,2,peak,3307910.12109375,1.165352113025913,0.532566254580679,3854880.0493164062,1761681.30368042,440671.6294555664,0.133217534129936,0.866782465870064
2025-02-01,A DIVISION,3,offpeak,2189048.6611328125,0.758678207116623,0.51390708837612,1660783.513519287,1124967.6237564087,243825.59342956543,0.111384272884728,0.888615727115272
2025-02-01,A DIVISION,3,peak,2608765.5927734375,0.693554597663265,0.54053287379218,1809321.37109375,1410123.5629119873,249449.6755065918,0.095619811989852,0.904380188010148
2025-02-01,A DIVISION,4,offpeak,3441783.0278320312,1.012584358880921,0.380964020231178,3485095.6606445312,1311195.4990463257,442384.4858093262,0.128533519467084,0.871466480532916
2025-02-01,A DIVISION,4,peak,3810993.853515625,0.9111347588811,0.423947906610253,3472328.9658203125,1615662.8663024902,430370.939453125,0.112928793904013,0.887071206095987
